Type 1 olivine ,Type 2 olivine ,hcp + olivine ,lcp ,plagioclase 
0.0,0.0,0.0,0.0,0.0
0.1817928972052836,0.0,0.0,0.0,0.0
0.049309589110461,0.0,0.2888416480068594,0.0,0.0
0.044451072673398796,0.386669704456112,0.0,0.0,0.01300337675519108
0.043535437579476,0.0,0.05689614864833989,0.0,0.0
0.013778706140389578,0.0,0.007691591566707499,0.0,0.0
0.024312663167474487,0.05115212447257179,0.06536532060462028,0.0,0.001998860453051502
0.07148052683478218,0.37931844897204425,0.08887848310497957,0.006238739557787537,0.033677868835321895
0.038828978546828985,0.13967161859495136,0.014185088840126718,0.014177188709701085,0.005261690913050228
0.11131288557696006,0.09126912535700737,0.004912630109038068,0.0018020563753327794,0.013660197102195452
0.1913461869856413,0.0904293374258857,0.378259882560162,0.05999775840573483,0.2062454382811517
0.2898405450223577,0.1750900412152594,0.8606183710044435,0.03781495799720821,0.005391331753067027
0.06999142190672922,0.28511891305400716,0.7079452660754202,0.04155025126061842,0.07109905940776248
0.21055903056034098,0.2219774397374382,0.3394436188394727,0.047004538477070514,0.03744926546509303
0.3161447416127203,0.3953898013467511,1.4591182131328684,0.16694868307131575,0.03206264547795115
0.09397236279297158,0.33276033240050323,1.5590003541455024,0.29148816876896094,0.21619024661097921
0.1910736678084792,0.4434418340973347,1.4693425117065924,0.3364106578381832,0.0328499814104628
0.1889038554192459,0.44592215773299887,0.5801840730035651,0.2541484811154072,0.01801249520716593
0.2000157962371916,0.5180695044272148,0.9761247593271069,0.12725397919737935,0.08197075682382232
0.08449468491225894,0.2857393209889422,0.46066860535475807,0.13906187950890272,0.017631396785279134
0.04166393508747852,0.155463157647978,0.4809089516556426,0.27058974710982325,0.03410278231287925
0.01971992089543518,0.054194825615242956,0.45595468511549575,0.17964514373863197,0.0067349209635435186
0.018902879741088542,0.06350339301335244,0.13201311786789294,0.11452973453064412,0.021553469466310538
0.03280940337952633,0.041674431883482535,0.15478351032899595,0.1291862972105348,0.01844100700466904
0.0,0.011611126965416657,0.0985215016075934,0.17122141090742052,0.015795942136244467
0.0024442265285567976,0.04272730367093968,0.06502883467879556,0.15989923122847247,0.03141894859830285
0.02646350720154962,0.043609462624436275,0.2705465015994817,0.07644671782371901,0.007705018273667484
0.004491841506916155,0.022645097453177585,0.01645258607740687,0.03718338590467981,0.01294838817215477
0.0,0.018367610297304906,0.005313035514230166,0.028480325661909216,0.004977914061308088
0.0,0.012071837685948772,0.0,0.05598754385767005,0.0
0.0,0.0460306131951491,0.0,0.0022185403874597233,0.0
0.007341800993879482,0.01349987529579882,0.0,0.2074883776570161,0.03232359571511871
0.0025331654219566133,0.0,0.0,0.36616419146227625,0.0015296817546414214
0.010585926873731725,0.0,0.0,0.3827527941405557,0.0
0.0,0.0,0.0,0.17403955688808215,0.0
0.020802206751387456,0.0,0.0,0.24195612533740624,0.0
0.0,0.0,0.0,0.02410859706238174,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.045331445881506165,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.24701563510825933,0.0,0.0,0.0
0.0,0.0,0.0,0.018947445487841434,0.0
0.0,0.0,0.0,0.41667241749224393,0.0
0.0,0.0,0.0,0.0047193294548180395,0.0
0.0,0.0,0.0,0.03484572864248777,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.1607652029959762,0.0
0.0,0.0,0.0,0.0,0.0
